date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:00	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Jun%202018%2021:37:59%20GMT	https://dogespeedminer.com/robots.txt		(from )
04:08:00	13493/13493	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2021:37:59%20GMT	https://dogespeedminer.com/	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/index.html	(from )
04:08:01	3452/3452	---M--	200	added ('OK')	image/png	etag:%22d7c-56d9aa2acb590%22	https://dogespeedminer.com/img/dogeminer-favicon.png?s=17032018	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/dogeminer-favicon8518.png	(from https://dogespeedminer.com/)
04:08:02	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-56d9aa25c9221-gzip%22	https://dogespeedminer.com/css/bootstrap.min.css	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/css/bootstrap.min.css	(from https://dogespeedminer.com/)
04:08:02	30008/30008	---M-Z	200	added ('OK')	text/css	etag:%227538-56d9b3d0d0746-gzip%22	https://dogespeedminer.com/css/style2.css?s=03042018-99994	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/css/style2892f.css	(from https://dogespeedminer.com/)
04:08:02	13493/13493	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2021:38:01%20GMT	https://dogespeedminer.com/index.php	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/index-2.html	(from https://dogespeedminer.com/)
04:08:03	28059/28059	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2021:38:01%20GMT	https://dogespeedminer.com/payouts.php	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/payouts.html	(from https://dogespeedminer.com/)
04:08:03	10199/10199	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2021:38:01%20GMT	https://dogespeedminer.com/faq.php	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/faq.html	(from https://dogespeedminer.com/)
04:08:03	3476/3476	---M-Z	200	added ('OK')	text/html	date:Sat,%2002%20Jun%202018%2021:38:02%20GMT	https://dogespeedminer.com/contacts.php	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/contacts.html	(from https://dogespeedminer.com/)
04:08:04	18500/18500	---M--	200	added ('OK')	image/png	etag:%224844-56d9aa28f69a2%22	https://dogespeedminer.com/img/twite.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/twite.png	(from https://dogespeedminer.com/)
04:08:04	2552/2552	---M--	200	added ('OK')	image/png	etag:%229f8-56d9aa2babf47%22	https://dogespeedminer.com/img/teleg.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/teleg.png	(from https://dogespeedminer.com/)
04:08:04	8391/8391	---M--	200	added ('OK')	image/png	etag:%2220c7-56d9aa34d69cd%22	https://dogespeedminer.com/img/tarif/6.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/6.png	(from https://dogespeedminer.com/)
04:08:05	4893/4893	---M--	200	added ('OK')	image/png	etag:%22131d-56d9aa32f337f%22	https://dogespeedminer.com/img/tarif/1.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/1.png	(from https://dogespeedminer.com/)
04:08:05	9071/9071	---M--	200	added ('OK')	image/png	etag:%22236f-56d9aa34105f4%22	https://dogespeedminer.com/img/tarif/2.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/2.png	(from https://dogespeedminer.com/)
04:08:06	9378/9378	---M--	200	added ('OK')	image/png	etag:%2224a2-56d9aa3301ddf%22	https://dogespeedminer.com/img/tarif/3.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/3.png	(from https://dogespeedminer.com/)
04:08:06	17186/17186	---M--	200	added ('OK')	image/png	etag:%224322-56d9aa3214908%22	https://dogespeedminer.com/img/tarif/4.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/4.png	(from https://dogespeedminer.com/)
04:08:06	3243/3243	---M--	200	added ('OK')	image/png	etag:%22cab-56d9aa3207de8%22	https://dogespeedminer.com/img/tarif/_1.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/_1.png	(from https://dogespeedminer.com/)
04:08:07	6938/6938	---M--	200	added ('OK')	image/png	etag:%221b1a-56d9aa30e7c94%22	https://dogespeedminer.com/img/tarif/_2.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/_2.png	(from https://dogespeedminer.com/)
04:08:07	7399/7399	---M--	200	added ('OK')	image/png	etag:%221ce7-56d9aa350964b%22	https://dogespeedminer.com/img/tarif/_3.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/_3.png	(from https://dogespeedminer.com/)
04:08:08	14209/14209	---M--	200	added ('OK')	image/png	etag:%223781-56d9aa33d4cd7%22	https://dogespeedminer.com/img/tarif/_4.png	C:/My%20Web%20Sites/test2/doge%20clone/dogespeedminer.com/img/tarif/_4.png	(from https://dogespeedminer.com/)
